"","time","avg.parasites","alive.or.dead","resistance.level","sim.num"
"1036",11,13.7070707070707,"alive","Higher Infection Resistance","9"
"1037",12,13.4646464646465,"alive","Higher Infection Resistance","9"
"1038",13,13.3163265306122,"alive","Higher Infection Resistance","9"
"1039",14,13.1224489795918,"alive","Higher Infection Resistance","9"
"1040",15,13.030612244898,"alive","Higher Infection Resistance","9"
"1041",16,12.8571428571429,"alive","Higher Infection Resistance","9"
"1042",17,12.7551020408163,"alive","Higher Infection Resistance","9"
"1043",18,12.5773195876289,"alive","Higher Infection Resistance","9"
"1044",19,12.3541666666667,"alive","Higher Infection Resistance","9"
"1045",20,12.2,"alive","Higher Infection Resistance","9"
"1076",1,18.94,"alive","Higher Clearance","9"
"1077",2,16.9387755102041,"alive","Higher Clearance","9"
"1078",3,15.3854166666667,"alive","Higher Clearance","9"
"1079",4,13.6210526315789,"alive","Higher Clearance","9"
"1080",5,12.4315789473684,"alive","Higher Clearance","9"
"1081",6,11.0631578947368,"alive","Higher Clearance","9"
"1082",7,10.0210526315789,"alive","Higher Clearance","9"
"1083",8,9.03157894736842,"alive","Higher Clearance","9"
"1084",9,8.04210526315789,"alive","Higher Clearance","9"
"1085",10,7.30526315789474,"alive","Higher Clearance","9"
"1086",11,6.58947368421053,"alive","Higher Clearance","9"
"1087",12,6,"alive","Higher Clearance","9"
"1088",13,5.31578947368421,"alive","Higher Clearance","9"
"1089",14,4.84210526315789,"alive","Higher Clearance","9"
"1090",15,4.47872340425532,"alive","Higher Clearance","9"
"1091",16,3.93548387096774,"alive","Higher Clearance","9"
"1092",17,3.58064516129032,"alive","Higher Clearance","9"
"1093",18,3.16129032258065,"alive","Higher Clearance","9"
"1094",19,2.86021505376344,"alive","Higher Clearance","9"
"1095",20,2.51612903225806,"alive","Higher Clearance","9"
"1143",1,14.79,"alive","Higher Infection Resistance","10"
"1144",2,14.6428571428571,"alive","Higher Infection Resistance","10"
"1145",3,14.5360824742268,"alive","Higher Infection Resistance","10"
"1146",4,14.3854166666667,"alive","Higher Infection Resistance","10"
"1147",5,14.2395833333333,"alive","Higher Infection Resistance","10"
"1148",6,14.1052631578947,"alive","Higher Infection Resistance","10"
"1149",7,13.968085106383,"alive","Higher Infection Resistance","10"
"1150",8,13.7872340425532,"alive","Higher Infection Resistance","10"
"1151",9,13.6774193548387,"alive","Higher Infection Resistance","10"
"1152",10,13.554347826087,"alive","Higher Infection Resistance","10"
"1153",11,13.3626373626374,"alive","Higher Infection Resistance","10"
